Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"@JamiJm @KingRezizt @Sonya_TN @maryellen622 @scott_schultze @Peatches66 @kooliegirl @Wikweko @NiceorNecessary @MollyScarborou1 @Jet1Jack Thank you Jami:blue_heart::blue_heart::unicorn_face::unicorn_face::blush::wink: #UnicornArmy #CheetoMcAsshat #DonnieDollhands #AmericaorTrump #FactsoverFiction #DelusionalDonnie #TrumpisNotWell 
#ByeDonJr #KidsLivesMatter #TrumpVirus #Biden2020Landslide",fauci,FAVOR,_,_,1295806010884530176
"@MichaelRosenYes @skwawkbox When some vaccines can take 10yrs to develop, and this one was rushed through (and isn't needed anyway thanks to Hydroxychloroquine, Azithramycin etc)- what could possibly go wrong?
#Scamdemic #Plandemic #NotForMeThanks #ExposeBillGates",fauci,AGAINST,_,_,1296520469462552578
@WhiteHouse @realDonaldTrump @POTUS we want to hear from Dr #Fauci who is expert &amp; knows what he is talking about. #TrumpFailedAmerica #TrumpMeltdown #TrumpVirus #COVID19,fauci,FAVOR,_,_,1294755812213248000
@Leetreeplanted @philipsknowlton @realDonaldTrump At this point #DoogieHowserMD has way more credibility than #DrFraudci,fauci,AGAINST,_,_,1296511672081842177
@HelenHellow @cindyabbott2020 @FoxNews Exactly so stop blindly blaming fauci and wearing a mask. Don’t you know history? Same thing happened 100 years ago and morons still refused to wear masks. You just don’t learn. #covidiots #americaissodumb,fauci,FAVOR,_,_,1294388036843606016
"@Aprildsalazar1 Hard pass on that! :reversed_hand_with_middle_finger_extended:
They want more tests so they can infect more people and keep their charade going long enough to vax us all. If this was really such a devastating #pandemic, you wouldn't need testing to prove it. 
#CovidHoax 
#Plandemic",fauci,AGAINST,_,_,1296507924307746816
"@CuomoPrimeTime @ChrisCuomo :red_heart_selector:Heart reaching story ~ Thank you @ChrisCuomo &amp; CNN ~ You #HONORTHEM, you #SHOWTheirFaces, you #SHARETheirStories. DEVASTATING 155,196+:flag_for_United_States:dead! In July alone 1,874,459 new :flag_for_United_States: cases #TrumpHasNoPlan  #COVID19  #COVIDIOT #AmericasGreatestMistake  #TrumpFailsAmerica",fauci,FAVOR,_,_,1290535438592040965
@ChuckCallesto Throw that murdering f*ck stick in prison.,fauci,AGAINST,_,_,1296505205287276544
@Jim_Jordan What the actual f#ck is wrong with you? Go to church...don’t wear a mask...do what your fuhrer tells you. Maybe you can get a double room with Gomer...oops...Gohmert! #GymJordan,fauci,FAVOR,_,_,1289748570321584128
"@LocalJudi @drsanjaygupta Better if he's out of commission. His response to covid has been an absolute and undeniable disaster.

Wrong on just about every aspect. Constant flip-flopping. The illegal forced mask mandates that rogue governors seem to think they can impose.",fauci,AGAINST,_,_,1296505188346454017
"@realDonaldTrump Sorry. I'm gonna trust the man that had spent his entire life saving people from infectious diseases over the guy that said during a Covid briefing ""I have a really good, you know, brain"" 
#TrumpLiesAmericansDie #COVID19",fauci,FAVOR,_,_,1289639835171319809
@BreitbartNews does this mean we won't hear 80 different opinions from him about wearing masks in the next couple weeks?,fauci,AGAINST,_,_,1296499332435398657
"At the #faucihearing today, @RepBlaine Luetkemeyer (R-Misery) tried to defend #Hydroxychloroquine when used w/ zinc by citing a report that has been debunked. Dr. Fauci pointed out that the study was NOT a #randomzed placebo-controlled trial.
#ScienceMatters",fauci,FAVOR,_,_,1289242366256136194
"Under Fauci, the U.S. has a comprehensive program to: 
1. identify promising low-cost coronavirus treatments; 
2. remove them from store shelves; 
3. block access by doctors, pharmacists, &amp; patients; &amp; 
4. produce rigged studies to permanently hide their effectiveness.",fauci,AGAINST,_,_,1296496145489747969
@WISN12News And why ? Isn’t it simple to wear a mask #WearAMask,fauci,FAVOR,_,_,1289034790230986753
@ChuckCallesto Dr. Fauci needs a mental health check!,fauci,AGAINST,_,_,1296495003003318272
"@drsimonegold @oliverdarcy A scientist, 4 physicians @ home agree. Create a legal sign up page where ""we can all agree to eschew medical care, after effect care for us &amp; our loved ones &amp; manage ourselves with hydroxychloroquine, zinc, &amp; Zithromax"" #CNN #Politico",fauci,FAVOR,_,_,1288042493683142657
@thehill All that bullshit coming out of his mouth must be toxic,fauci,AGAINST,_,_,1296469664298602497
"@realDonaldTrump 146,632 deaths. 4,197,184  cases. Covid growing exponentially. Only 15.2% tested. STILL NO PLAN. 43 million unemployed. US soldiers being murdered by Russia @realdonaldtrump @gop @vp @whitehouse @lindseygrahamsc FAILED AMERICA   #trumpownseverydeath #trumpgenocide",fauci,FAVOR,_,_,1287442695435071489
"#faucifraud says children can spread the virus to adults if they get.  NO SH!T!  Who doesn't know kids are germ factories and this is the ""Expert""",fauci,AGAINST,_,_,1296448355464359940
"JOE BIDEN WILL NOT DEFUND THE POLICE.

DONALD TRUMP IS JUST LYING TO YOU AGAIN.

#TrumpLiesAmericansDie 
#TrumpIsACompleteFailure 
#TrumpMustGo 
#AmericasGreatestMistake 
#AmericaOrTrump",fauci,FAVOR,_,_,1287262979721793536
@eileeniorio He’s an effin liar! There is no true freedom in his world! Indict him!,fauci,AGAINST,_,_,1296345469828780034
@andyroddick @AminStereo @TennisChannel @TennisChanneli @Martina @JRBlake Thanks Andy!! :clap::tennis::heart_eyes::heart::clap: #WearAMask,fauci,FAVOR,_,_,1287252533937930240
"@CNN Fauci is a fraud. He should be fired asap.

#FireFauci",fauci,AGAINST,_,_,1296333698795798530
"@thehill 145,860 deaths. 4,237,411  cases. Covid growing exponentially. Only 14.9% tested. STILL NO PLAN. 43 million unemployed. US soldiers being murdered by Russia @realdonaldtrump @gop @vp @whitehouse @lindseygrahamsc FAILED AMERICA   #trumpownseverydeath #trumpgenocide",fauci,FAVOR,_,_,1287071650589024257
@ChuckCallesto I’m fairly sure at least 1/2 the time he’s in front of congress all he says is “that’s outside of my job” or something close from the last few times I’ve watched. I get science changes. But clearly what we’ve been doing for 150+ days doesn’t work either. #OpenAmerica,fauci,AGAINST,_,_,1296313855564484608
